# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageFastCacheHits,1775393090298000000,1775393102926000000,13393
FilePageCache.maxRegisteredFiles,1775393090298000000,1775393102926000000,529
FileChannelInterruptsRetryer.totalRetriedAttempts,1775393090298000000,1775393102926000000,0
FilePageCache.pageHits,1775393090298000000,1775393102926000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1775393090298000000,1775393102926000000,360804
DirectByteBufferAllocator.hits,1775393090298000000,1775393102926000000,3
FilePageCacheLockFree.housekeeperTurnsSkipped,1775393090298000000,1775393102926000000,8767
FilePageCacheLockFree.totalBytesRequested,1775393090298000000,1775393102926000000,73728
FilePageCache.totalPageDisposalsUs,1775393090298000000,1775393102926000000,3331
FilePageCache.pageLoadsAboveSizeThreshold,1775393090298000000,1775393102926000000,0
FilePageCache.maxCacheSizeInBytes,1775393090298000000,1775393102926000000,199229440
FilePageCache.disposedBuffers,1775393090298000000,1775393102926000000,193
FilePageCacheLockFree.totalPagesWritten,1775393090298000000,1775393102926000000,3
FilePageCacheLockFree.housekeeperTimeSpentMs,1775393090298000000,1775393102926000000,87
DirectByteBufferAllocator.misses,1775393090298000000,1775393102926000000,192
FilePageCacheLockFree.totalPagesWriteMs,1775393090298000000,1775393102926000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775393090298000000,1775393102926000000,41959424
FilePageCacheLockFree.heapBytesInUse,1775393090298000000,1775393102926000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1775393090298000000,1775393102926000000,16384
DirectByteBufferAllocator.disposed,1775393090298000000,1775393102926000000,150
StorageLockContext.competingThreads.max,1775393090298000000,1775393102926000000,8
workspaceModel.replace.project.model.ms,1775393090298000000,1775393102926000000,0
workspaceModel.updates.precise.ms,1775393090298000000,1775393102926000000,0
workspaceModel.check.recursive.update.ms,1775393090298000000,1775393102926000000,0
workspaceModel.pre.handlers.ms,1775393090298000000,1775393102926000000,0
workspaceModel.initializing.ms,1775393090298000000,1775393102926000000,0
workspaceModel.loading.total.ms,1775393090298000000,1775393102926000000,50
workspaceModel.update.unloaded.entities.ms,1775393090298000000,1775393102926000000,0
workspaceModel.collect.changes.ms,1775393090298000000,1775393102926000000,0
workspaceModel.updates.ms,1775393090298000000,1775393102926000000,0
workspaceModel.loading.from.cache.ms,1775393090298000000,1775393102926000000,42
workspaceModel.updates.count,1775393090298000000,1775393102926000000,0
workspaceModel.init.bridges.ms,1775393090298000000,1775393102926000000,0
workspaceModel.to.snapshot.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775393090298000000,1775393102926000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775393090298000000,1775393102926000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775393090298000000,1775393102926000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775393090298000000,1775393102926000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775393090298000000,1775393102926000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775393090298000000,1775393102926000000,0
workspaceModel.load.cache.from.file.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1775393090298000000,1775393102926000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775393090298000000,1775393102926000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1775393090298000000,1775393102926000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775393090298000000,1775393102926000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775393090298000000,1775393102926000000,0
workspaceModel.load.cache.metadata.from.file.ms,1775393090298000000,1775393102926000000,0
workspaceModel.save.cache.to.file.ms,1775393090298000000,1775393102926000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775393090298000000,1775393102926000000,0
